sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,106,300,300,0,170,90,,,baseline
2,203,300,170,260,183,97,,,baseline
3,289,300,183,234,181,86,,,baseline
4,380,300,181,238,182,91,,,baseline
5,465,300,182,236,182,85,,,baseline
6,560,300,182,236,182,95,,,baseline
7,647,300,182,236,182,87,,,baseline
8,740,300,182,236,182,93,,,baseline
9,828,300,182,236,182,88,,,baseline
10,917,300,182,236,182,89,,,baseline
11,1012,300,182,236,182,95,,,baseline
12,1102,300,182,236,182,90,,,baseline
13,1203,300,182,236,182,101,,,baseline
14,1292,300,182,236,182,89,,,baseline
15,1378,300,182,236,182,86,,,baseline
16,1465,300,182,236,182,87,,,baseline
17,1560,300,182,236,182,95,,,baseline
18,1648,300,182,236,182,88,,,baseline
19,1728,300,182,236,182,80,,,baseline
20,1830,300,182,236,182,102,,,baseline
21,1912,300,182,236,182,82,,,baseline
22,2012,300,182,236,182,100,,,baseline
23,2105,300,182,236,182,93,,,baseline
24,2194,300,182,236,182,89,,,baseline
25,2289,300,182,236,182,95,,,baseline
26,2357,300,182,236,182,68,,,baseline
27,2472,300,182,236,182,115,,,baseline
28,2560,300,182,236,182,88,,,baseline
29,2652,300,182,236,182,92,,,baseline
30,2744,300,182,236,182,92,,,baseline
31,2832,300,182,236,182,88,,,baseline
32,2923,300,182,236,182,91,,,baseline
33,3013,300,182,236,182,90,,,baseline
34,3112,300,182,236,182,99,,,baseline
35,3186,300,182,236,182,74,,,baseline
36,3292,300,182,236,182,106,,,baseline
37,3383,300,182,236,182,91,,,baseline
38,3472,300,182,236,182,89,,,baseline
39,3562,300,182,236,182,90,,,baseline
40,3636,300,182,236,182,74,,,baseline
41,3727,300,182,236,332,91,,,baseline
42,3828,300,332,0,338,101,,,baseline
43,3912,300,338,0,342,84,,,baseline
44,4008,300,342,0,344,96,,,baseline
45,4090,300,344,0,345,82,,,baseline
46,4189,300,345,0,346,99,,,baseline
47,4256,300,346,0,346,67,,,baseline
48,4369,300,346,0,346,113,,,baseline
49,4436,300,346,0,346,67,,,baseline
50,4548,300,346,0,346,112,,,baseline
51,4632,300,346,0,346,84,,,baseline
52,4717,300,346,0,346,85,,,baseline
53,4812,300,346,0,346,95,,,baseline
54,4892,300,346,0,346,80,,,baseline
55,4988,300,346,0,346,96,,,baseline
56,5070,300,346,0,346,82,,,baseline
57,5168,800,346,908,663,98,,,baseline
58,5250,800,663,274,610,82,,,baseline
59,5349,800,610,380,621,99,,,baseline
60,5416,800,621,358,618,67,,,baseline
61,5529,800,618,364,620,113,,,baseline
62,5612,800,620,360,618,83,,,baseline
63,5696,800,618,364,620,84,,,baseline
64,5792,800,620,360,618,96,,,baseline
65,5866,800,618,364,620,74,,,baseline
66,5972,800,620,360,618,106,,,baseline
67,6045,800,618,364,620,73,,,baseline
68,6149,800,620,360,618,104,,,baseline
69,6241,800,618,364,620,92,,,baseline
70,6331,800,620,360,618,90,,,baseline
71,6422,800,618,364,620,91,,,baseline
72,6512,800,620,360,618,90,,,baseline
73,6601,800,618,364,620,89,,,baseline
74,6690,800,620,360,618,89,,,baseline
75,6780,800,618,364,620,90,,,baseline
76,6869,800,620,360,618,89,,,baseline
77,6963,800,618,364,620,94,,,baseline
78,7052,800,620,360,618,89,,,baseline
79,7142,800,618,364,620,90,,,baseline
80,7229,800,620,360,618,87,,,baseline
81,7323,800,618,364,620,94,,,baseline
82,7396,800,620,360,618,73,,,baseline
83,7498,800,618,364,620,102,,,baseline
84,7584,800,620,360,618,86,,,baseline
85,7678,800,618,364,620,94,,,baseline
86,7764,800,620,360,618,86,,,baseline
87,7851,800,618,364,620,87,,,baseline
88,7942,800,620,360,618,91,,,baseline
89,8028,800,618,364,620,86,,,baseline
90,8124,800,620,360,618,96,,,baseline
91,8208,800,618,364,620,84,,,baseline
92,8301,800,620,360,618,93,,,baseline
93,8391,800,618,364,620,90,,,baseline
94,8480,800,620,360,618,89,,,baseline
95,8571,800,618,364,620,91,,,baseline
96,8663,800,620,360,618,92,,,baseline
97,8763,800,618,364,620,100,,,baseline
98,8853,800,620,360,618,90,,,baseline
99,8925,800,618,364,620,72,,,baseline
100,9032,800,620,360,618,107,,,baseline
101,9120,800,618,364,620,88,,,baseline
102,9212,800,620,360,618,92,,,baseline
103,9297,800,618,364,620,85,,,baseline
104,9392,800,620,360,618,95,,,baseline
105,9478,800,618,364,620,86,,,baseline
106,9574,800,620,360,618,96,,,baseline
107,9663,800,618,364,620,89,,,baseline
108,9753,800,620,360,618,90,,,baseline
109,9843,800,618,364,620,90,,,baseline
110,9932,800,620,360,618,89,,,baseline
111,10023,800,618,364,620,91,,,baseline
112,10112,800,620,360,618,89,,,baseline
113,10201,800,618,364,620,89,,,baseline
114,10292,800,620,360,618,91,,,baseline
115,10382,800,618,364,620,90,,,baseline
116,10471,800,620,360,618,89,,,baseline
117,10564,800,618,364,620,93,,,baseline
118,10652,800,620,360,618,88,,,baseline
119,10744,800,618,364,620,92,,,baseline
120,10831,800,620,360,618,87,,,baseline
121,10921,800,618,364,620,90,,,baseline
122,11008,800,620,360,618,87,,,baseline
123,11102,800,618,364,620,94,,,baseline
124,11191,800,620,360,618,89,,,baseline
125,11284,800,618,364,620,93,,,baseline
126,11372,800,620,360,618,88,,,baseline
127,11466,800,618,364,620,94,,,baseline
128,11556,800,620,360,618,90,,,baseline
129,11652,800,618,364,620,96,,,baseline
130,11743,800,620,360,618,91,,,baseline
131,11831,800,618,364,620,88,,,baseline
132,11923,800,620,360,618,92,,,baseline
133,12013,800,618,364,620,90,,,baseline
134,12104,800,620,360,618,91,,,baseline
135,12191,800,618,364,620,87,,,baseline
136,12286,800,620,360,618,95,,,baseline
137,12371,800,618,364,620,85,,,baseline
138,12469,800,620,360,618,98,,,baseline
139,12536,800,618,364,620,67,,,baseline
140,12649,800,620,360,618,113,,,baseline
141,12718,800,618,364,470,69,,,baseline
142,12828,800,470,660,495,110,,,baseline
143,12911,800,495,610,491,83,,,baseline
144,13006,800,491,618,492,95,,,baseline
145,13091,800,492,616,491,85,,,baseline
146,13192,800,491,618,492,101,,,baseline
147,13284,800,492,616,491,92,,,baseline
148,13371,800,491,618,492,87,,,baseline
149,13463,800,492,616,491,92,,,baseline
150,13550,800,491,618,492,87,,,baseline
151,13643,800,492,616,491,93,,,baseline
152,13729,800,491,618,492,86,,,baseline
153,13832,800,492,616,491,103,,,baseline
154,13924,800,491,618,492,92,,,baseline
155,14013,800,492,616,491,89,,,baseline
156,14103,800,491,618,492,90,,,baseline
157,14192,800,492,616,491,89,,,baseline
158,14283,800,491,618,492,91,,,baseline
159,14372,800,492,616,491,89,,,baseline
160,14463,800,491,618,492,91,,,baseline
161,14551,800,492,616,491,88,,,baseline
162,14638,800,491,618,492,87,,,baseline
163,14732,800,492,616,491,94,,,baseline
164,14817,800,491,618,492,85,,,baseline
165,14912,800,492,616,491,95,,,baseline
166,14990,800,491,618,492,78,,,baseline
167,15094,800,492,616,491,104,,,baseline
168,15183,500,491,18,283,89,,,baseline
169,15276,500,283,434,311,93,,,baseline
170,15379,500,311,378,308,103,,,baseline
171,15462,500,308,384,308,83,,,baseline
172,15559,500,308,384,308,97,,,baseline
173,15643,500,308,384,308,84,,,baseline
174,15740,500,308,384,308,97,,,baseline
175,15823,500,308,384,308,83,,,baseline
176,15917,500,308,384,308,94,,,baseline
177,16000,500,308,384,308,83,,,baseline
178,16091,500,308,384,308,91,,,baseline
179,16181,500,308,384,308,90,,,baseline
180,16272,500,308,384,308,91,,,baseline
181,16361,500,308,384,308,89,,,baseline
182,16452,500,308,384,308,91,,,baseline
183,16541,500,308,384,308,89,,,baseline
184,16634,500,308,384,308,93,,,baseline
185,16723,500,308,384,308,89,,,baseline
186,16813,500,308,384,308,90,,,baseline
187,16899,500,308,384,308,86,,,baseline
188,16992,500,308,384,308,93,,,baseline
189,17080,500,308,384,308,88,,,baseline
190,17172,500,308,384,308,92,,,baseline
191,17263,500,308,384,308,91,,,baseline
192,17350,500,308,384,308,87,,,baseline
193,17441,500,308,384,308,91,,,baseline
194,17531,500,308,384,308,90,,,baseline
195,17621,500,308,384,308,90,,,baseline
196,17711,500,308,384,308,90,,,baseline
197,17799,500,308,384,308,88,,,baseline
198,17893,500,308,384,308,94,,,baseline
199,17985,500,308,384,308,92,,,baseline
200,18078,500,308,384,308,93,,,baseline
201,18160,500,308,384,308,82,,,baseline
202,18252,500,308,384,308,92,,,baseline
203,18337,500,308,384,308,85,,,baseline
204,18431,500,308,384,308,94,,,baseline
205,18512,500,308,384,308,81,,,baseline
206,18614,500,308,384,308,102,,,baseline
207,18701,500,308,384,308,87,,,baseline
208,18800,500,308,384,308,99,,,baseline
209,18866,500,308,384,308,66,,,baseline
210,18980,500,308,384,308,114,,,baseline
211,19065,500,308,384,308,85,,,baseline
212,19160,500,308,384,308,95,,,baseline
213,19251,500,308,384,308,91,,,baseline
214,19343,500,308,384,308,92,,,baseline
215,19429,500,308,384,308,86,,,baseline
216,19520,500,308,384,308,91,,,baseline
217,19608,500,308,384,308,88,,,baseline
218,19701,500,308,384,308,93,,,baseline
219,19790,500,308,384,308,89,,,baseline
220,19878,500,308,384,308,88,,,baseline
221,19971,500,308,384,308,93,,,baseline
222,20061,500,308,384,308,90,,,baseline
223,20149,500,308,384,308,88,,,baseline
224,20243,500,308,384,308,94,,,baseline
225,20332,500,308,384,308,89,,,baseline
226,20421,500,308,384,308,89,,,baseline
227,20512,500,308,384,308,91,,,baseline
228,20598,500,308,384,308,86,,,baseline
229,20691,500,308,384,308,93,,,baseline
230,20780,500,308,384,308,89,,,baseline
231,20863,500,308,384,308,83,,,baseline
232,20960,500,308,384,308,97,,,baseline
233,21052,500,308,384,308,92,,,baseline
234,21143,500,308,384,308,91,,,baseline
235,21229,500,308,384,308,86,,,baseline
236,21319,500,308,384,308,90,,,baseline
237,21406,500,308,384,308,87,,,baseline
238,21504,500,308,384,308,98,,,baseline
239,21575,500,308,384,308,71,,,baseline
240,21684,500,308,384,308,109,,,baseline
241,21771,500,308,384,308,87,,,baseline
242,21859,500,308,384,308,88,,,baseline
243,21945,500,308,384,308,86,,,baseline
244,22040,500,308,384,308,95,,,baseline
245,22122,500,308,384,308,82,,,baseline
246,22223,500,308,384,308,101,,,baseline
247,22311,500,308,384,308,88,,,baseline
248,22403,500,308,384,308,92,,,baseline
249,22493,500,308,384,308,90,,,baseline
250,22591,500,308,384,308,98,,,baseline
251,22680,500,308,384,308,89,,,baseline
252,22771,500,308,384,308,91,,,baseline
253,22863,500,308,384,308,92,,,baseline
254,22952,500,308,384,308,89,,,baseline
255,23038,500,308,384,308,86,,,baseline
256,23132,500,308,384,308,94,,,baseline
257,23221,500,308,384,308,89,,,baseline
258,23309,500,308,384,308,88,,,baseline
259,23402,500,308,384,308,93,,,baseline
260,23488,500,308,384,308,86,,,baseline
261,23583,500,308,384,308,95,,,baseline
262,23668,500,308,384,308,85,,,baseline
263,23764,500,308,384,308,96,,,baseline
264,23853,500,308,384,308,89,,,baseline
265,23946,500,308,384,308,93,,,baseline
266,24041,500,308,384,308,95,,,baseline
267,24132,500,308,384,308,91,,,baseline
268,24221,500,308,384,308,89,,,baseline
269,24312,500,308,384,308,91,,,baseline
270,24403,500,308,384,308,91,,,baseline
271,24492,500,308,384,308,89,,,baseline
272,24582,500,308,384,308,90,,,baseline
273,24672,500,308,384,308,90,,,baseline
274,24763,500,308,384,308,91,,,baseline
275,24851,500,308,384,308,88,,,baseline
276,24942,500,308,384,308,91,,,baseline
277,25030,500,308,384,308,88,,,baseline
278,25124,500,308,384,308,94,,,baseline
279,25210,500,308,384,308,86,,,baseline
280,25311,500,308,384,308,101,,,baseline
281,25393,500,308,384,308,82,,,baseline
282,25498,500,308,384,308,105,,,baseline
283,25586,500,308,384,308,88,,,baseline
284,25680,500,308,384,308,94,,,baseline
285,25770,500,308,384,308,90,,,baseline
286,25863,500,308,384,308,93,,,baseline
287,25954,500,308,384,308,91,,,baseline
288,26036,500,308,384,308,82,,,baseline
289,26132,500,308,384,308,96,,,baseline
290,26220,500,308,384,308,88,,,baseline
291,26313,500,308,384,308,93,,,baseline
292,26399,500,308,384,308,86,,,baseline
293,26492,500,308,384,308,93,,,baseline
294,26584,500,308,384,308,92,,,baseline
295,26681,500,308,384,308,97,,,baseline
296,26769,500,308,384,308,88,,,baseline
297,26861,500,308,384,308,92,,,baseline
298,26950,500,308,384,308,89,,,baseline
299,27038,500,308,384,308,88,,,baseline
300,27129,500,308,384,308,91,,,baseline
301,27211,500,308,384,308,82,,,baseline
302,27308,500,308,384,308,97,,,baseline
303,27392,500,308,384,308,84,,,baseline
304,27486,500,308,384,308,94,,,baseline
305,27573,500,308,384,308,87,,,baseline
306,27664,500,308,384,308,91,,,baseline
307,27752,500,308,384,308,88,,,baseline
308,27841,500,308,384,308,89,,,baseline
309,27931,500,308,384,308,90,,,baseline
310,28021,500,308,384,308,90,,,baseline
311,28109,500,308,384,308,88,,,baseline
312,28201,500,308,384,308,92,,,baseline
313,28291,500,308,384,308,90,,,baseline
314,28380,500,308,384,308,89,,,baseline
315,28468,500,308,384,308,88,,,baseline
316,28558,500,308,384,308,90,,,baseline
317,28653,500,308,384,308,95,,,baseline
318,28742,500,308,384,308,89,,,baseline
319,28830,500,308,384,308,88,,,baseline
320,28917,500,308,384,308,87,,,baseline
321,29008,500,308,384,308,91,,,baseline
322,29093,500,308,384,308,85,,,baseline
323,29189,500,308,384,308,96,,,baseline
324,29272,500,308,384,308,83,,,baseline
325,29372,500,308,384,308,100,,,baseline
326,29461,500,308,384,308,89,,,baseline
327,29551,500,308,384,308,90,,,baseline
328,29643,500,308,384,308,92,,,baseline
329,29732,500,308,384,308,89,,,baseline
330,29818,500,308,384,308,86,,,baseline
331,29912,500,308,384,308,94,,,baseline
332,30003,500,308,384,308,91,,,baseline
333,30093,500,308,384,308,90,,,baseline
334,30183,500,308,384,308,90,,,baseline
335,30271,500,308,384,308,88,,,baseline
336,30363,500,308,384,308,92,,,baseline
337,30451,500,308,384,308,88,,,baseline
338,30543,500,308,384,308,92,,,baseline
339,30631,500,308,384,308,88,,,baseline
340,30723,500,308,384,308,92,,,baseline
341,30812,500,308,384,308,89,,,baseline
342,30899,500,308,384,308,87,,,baseline
343,30989,500,308,384,308,90,,,baseline
344,31077,500,308,384,308,88,,,baseline
345,31169,500,308,384,308,92,,,baseline
346,31262,500,308,384,308,93,,,baseline
347,31349,500,308,384,308,87,,,baseline
348,31437,500,308,384,308,88,,,baseline
349,31532,500,308,384,308,95,,,baseline
350,31621,500,308,384,308,89,,,baseline
351,31713,500,308,384,308,92,,,baseline
352,31798,500,308,384,308,85,,,baseline
353,31892,500,308,384,308,94,,,baseline
354,31982,500,308,384,308,90,,,baseline
355,32072,500,308,384,308,90,,,baseline
356,32160,500,308,384,308,88,,,baseline
357,32253,500,308,384,308,93,,,baseline
358,32343,500,308,384,308,90,,,baseline
359,32432,500,308,384,308,89,,,baseline
360,32523,500,308,384,308,91,,,baseline
361,32613,500,308,384,308,90,,,baseline
362,32703,500,308,384,308,90,,,baseline
363,32791,500,308,384,308,88,,,baseline
364,32883,500,308,384,308,92,,,baseline
365,32965,500,308,384,308,82,,,baseline
366,33060,500,308,384,308,95,,,baseline
367,33141,500,308,384,308,81,,,baseline
368,33240,500,308,384,308,99,,,baseline
369,33306,500,308,384,308,66,,,baseline
370,33421,500,308,384,308,115,,,baseline
371,33503,500,308,384,308,82,,,baseline
372,33600,500,308,384,308,97,,,baseline
373,33690,500,308,384,308,90,,,baseline
374,33784,500,308,384,308,94,,,baseline
375,33872,500,308,384,308,88,,,baseline
376,33963,500,308,384,308,91,,,baseline
377,34051,500,308,384,308,88,,,baseline
378,34143,500,308,384,308,92,,,baseline
379,34229,500,308,384,308,86,,,baseline
380,34322,500,308,384,308,93,,,baseline
381,34412,500,308,384,308,90,,,baseline
382,34500,500,308,384,308,88,,,baseline
383,34591,500,308,384,308,91,,,baseline
384,34682,500,308,384,308,91,,,baseline
385,34772,500,308,384,308,90,,,baseline
386,34857,500,308,384,308,85,,,baseline
387,34953,500,308,384,308,96,,,baseline
388,35044,500,308,384,308,91,,,baseline
389,35132,500,308,384,308,88,,,baseline
390,35223,500,308,384,308,91,,,baseline
391,35312,500,308,384,308,89,,,baseline
392,35404,500,308,384,308,92,,,baseline
393,35492,500,308,384,308,88,,,baseline
394,35584,500,308,384,308,92,,,baseline
395,35668,500,308,384,308,84,,,baseline
396,35761,500,308,384,308,93,,,baseline
397,35844,500,308,384,308,83,,,baseline
398,35938,500,308,384,308,94,,,baseline
399,36022,500,308,384,308,84,,,baseline
400,36122,500,308,384,308,100,,,baseline
401,36187,500,308,384,308,65,,,baseline
402,36301,500,308,384,308,114,,,baseline
403,36368,500,308,384,308,67,,,baseline
404,36479,500,308,384,308,111,,,baseline
405,36572,500,308,384,308,93,,,baseline
406,36658,500,308,384,308,86,,,baseline
407,36749,500,308,384,308,91,,,baseline
408,36840,500,308,384,308,91,,,baseline
409,36928,500,308,384,308,88,,,baseline
410,37021,500,308,384,308,93,,,baseline
411,37108,500,308,384,308,87,,,baseline
412,37203,500,308,384,308,95,,,baseline
413,37300,500,308,384,308,97,,,baseline
414,37366,500,308,384,308,66,,,baseline
415,37478,500,308,384,308,112,,,baseline
416,37545,500,308,384,308,67,,,baseline
417,37660,500,308,384,308,115,,,baseline
418,37742,500,308,384,308,82,,,baseline
419,37842,500,308,384,308,100,,,baseline
